name,count
Aa,1
Aadam,1
Aafke,1
Aage,11
Aagot,1
Aapo,1
Aarik,1
Aarn,1
Aarne,3
Aaron,148
Aart,1
Aatos,2
Aatto,2
Ababel,1
Abadi,1
Abas,1
Abbas,17
Abbo,1
Abbondio,2
Abbos,1
Abbubaker,1
Abby,30
Abdal,1
Abdalelah,1
Abdalla,5
Abdallah,4
Abdel,59
Abdel-Karim,1
Abdelali,1
Abdelati,1
Abdelatif,2
Abdelaziz,4
Abdelghani,1
Abdelhadi,1
Abdelhak,3
Abdelhakim,2
Abdelhalim,2
Abdelhamid,1
Abdelillah,1
Abdelkader,2
Abdelkebir,1
Abdelkhalek,1
Abdellah,5
Abdellatif,2
Abdelmajid,3
Abdelmalek,1
Abdelmalik,1
Abdelrahman,1
Abdelraouf,1
Abderrahim,4
Abderrahman,1
Abderrahmane,5
Abderraouf,1
Abderrazak,4
Abdeslem,1
Abdessalem,1
Abdesselem,1
Abdi,6
Abdil,1
Abdinasir,1
Abdollah,2
Abdou,6
Abdoukerim,1
Abdoul,1
Abdoulaye,5
Abdoullah,1
Abdourahamane,1
Abdourahman,1
Abdourahmane,1
Abdul,60
Abdul-Rashid,1
Abdulah,1
Abdulaziz,2
Abdulkhakim,1
Abdulla,1
Abdullah,34
Abdullahi,1
Abdulqdir,1
Abdulrahman,1
Abdulrazzaq,1
Abdulsalam,1
Abdulwahab,1
Abdurahman,2
Abdurrahim,1
Abdusalam,3
Abe,9
Abeba,1
Abebe,3
Abebech,1
Abednego,1
Abeer,1
Abeiku,1
Abel,17
Abelardo,5
Abha,1
Abhinn,1
Abidnasir,1
Abigael,1
Abil,1
Abimael,1
Abiodun,1
Ablaykhan,1
Ablio,1
Abner,2
Abock,1
Abolfazl,1
Abou,1
Aboubacar,1
Aboubakr,1
Aboubakry,1
Abouelfetoh,1
Abouwi,1
Abraham,53
Abram,3
Abreham,1
Absalom,1
Abu,9
Abuaihuda,1
Abubakar,2
Abubaker,2
Abutaleb,1
Abzal,1
Acer,1
Achad,1
Achille,12
Achim,4
Achmad,1
Achour,1
Achraf,1
Achton,1
Ada,6
Adalbert,6
Adalberto,6
Adalberts,1
Adam,292
Adama,7
Adamo,1
Adamou,1
Adan,1
Adas,1
Adauto,1
Addin,1
Addis,1
Addison,2
Addo,1
Ade,1
Adebayo,1
Adel,19
Adelaide,4
